clusters,average_submitted_chrg_amt_mean,average_submitted_chrg_amt_median,average_submitted_chrg_amt_count,line_srvc_cnt_mean,line_srvc_cnt_median,line_srvc_cnt_count,coverage_rate_mean,coverage_rate_median,coverage_rate_count,total_spending_mean,total_spending_median,total_spending_count,Latitude_mean,Latitude_median,Latitude_count,Longitude_mean,Longitude_median,Longitude_count
32,523.6167168419905,422.91935484,1336,107.97305389221557,79.0,1336,0.7457390092491867,0.7523314594423416,1336,57764.23131731967,22228.84999976,1336,34.934459922903976,34.798035,1336,-82.43306761227574,-82.39289000000001,1336
33,833.1971438213372,748.30632411,1086,88.49723756906077,54.0,1086,0.7567880327882484,0.7625862523474085,1086,75607.59956727213,27523.875,1086,29.507329806629556,29.499453999999997,1086,-98.54636476059048,-98.57166,1086
34,578.3123280183277,465.34848485,686,93.58746355685132,66.0,686,0.7510631460221848,0.7582008097466904,686,55295.256924205736,25434.49999992,686,43.06072716180784,43.037166,686,-76.02134845481095,-76.12653,686
35,559.5123866122574,480.613468635,338,100.55325443786982,76.5,338,0.7405771481829609,0.7433455493360874,338,50409.66281059038,32086.31999965,338,42.329537461538386,42.334496,338,-122.73401857988235,-122.83547,338
36,706.8794726460403,631.0,2004,90.37425149700599,61.0,2004,0.7564365654040991,0.765171536577862,2004,68786.39320860176,23916.49999999,2004,33.51235470558902,33.494152,2004,-111.99301885878376,-112.0008,2004
37,617.1234403296495,520.0,117,99.58119658119658,75.0,117,0.7457214345000894,0.7523683923233395,117,60263.01598282895,30240.0,117,35.91012770940165,35.616662,117,-105.93572396581196,-105.97926000000001,117
38,704.2325552065071,610.0,803,91.36114570361146,59.0,803,0.7508504628802466,0.760426546067614,803,64721.153188088116,31153.00000014,803,42.90095488293913,43.061546,803,-89.29313164383511,-89.40024,803
39,572.4652557245959,447.0,525,98.81714285714285,62.0,525,0.7461530448788571,0.7523169515932504,525,58113.07657140982,23529.0,525,34.738528514285775,34.728790000000004,525,-86.82242146666698,-86.63505,525
40,620.3184786600865,461.607142855,1842,87.09229098805646,58.5,1842,0.7538788823570739,0.762106202414355,1842,56444.01751356872,24489.00000006,1842,40.45221806840344,40.443269,1842,-79.97574275732984,-79.97825999999999,1842
41,384.2523440795676,306.19441059,148,103.74324324324324,75.5,148,0.733391158005787,0.7367380002668851,148,40669.79763516028,20316.000000035,148,47.258467033783695,46.839620000000004,148,-100.96661878378367,-100.7723,148
42,522.6105205361765,384.816831685,136,90.76470588235294,53.5,136,0.7457754213252111,0.7526776013917991,136,54343.86110282207,17719.000000059998,136,33.583835375,33.570135,136,-101.95224029411744,-101.88901,136
43,558.7367152744504,500.0,639,105.23787167449139,77.0,639,0.7397291652825256,0.7456177853684189,639,59256.49181535643,31444.00000008,639,41.24446522065741,41.291736,639,-96.29451588106399,-96.171104,639
44,865.9402115445874,790.0,526,97.40684410646388,61.5,526,0.7527379077101833,0.7626507887746533,526,92399.78418235596,39864.1900002,526,30.517688927756648,30.48787,526,-86.81808294106507,-87.16724,526
45,935.8139486874621,900.10625,1826,101.59857612267251,67.0,1826,0.7689247157809089,0.7700907996158038,1826,98974.80733849385,44729.0,1826,27.910809335706745,27.944631,1826,-82.49331269277127,-82.49537,1826
